pm10,date,temperature_2m,relativehumidity_2m,windspeed_10m
3.0,2023-02-25 09:00:00,6.8,95.0,9.2
25.0,2023-02-27 22:00:00,-0.1,72.0,7.1
28.0,2023-02-28 23:00:00,1.1,75.0,7.4
23.0,2023-03-04 02:00:00,0.2,94.0,3.7
35.0,2023-03-05 22:00:00,2.0,86.0,3.3
32.0,2023-02-24 16:00:00,10.9,61.0,19.9
24.0,2023-03-13 08:00:00,4.668407310704956,77.81462140992167,9.1639686684073
22.0,2023-02-22 07:00:00,1.1,98.0,6.8
29.0,2023-03-01 14:00:00,3.3,81.0,13.5
5.0,2023-03-12 03:00:00,4.668407310704956,77.81462140992167,9.1639686684073
33.0,2023-03-04 19:00:00,5.4,75.0,5.1
10.0,2023-02-27 09:00:00,1.1,54.0,16.6
49.0,2023-03-13 19:00:00,4.668407310704956,77.81462140992167,9.1639686684073
11.0,2023-03-10 15:00:00,4.668407310704956,77.81462140992167,9.1639686684073
4.0,2023-03-15 01:00:00,4.668407310704956,77.81462140992167,9.1639686684073
11.0,2023-03-13 17:00:00,4.668407310704956,77.81462140992167,9.1639686684073
6.0,2023-02-26 13:00:00,4.2,44.0,24.5
26.0,2023-03-02 18:00:00,5.6,79.0,3.6
28.0,2023-03-01 10:00:00,2.0,76.0,11.6
32.0,2023-03-06 08:00:00,3.1,76.0,1.5
22.0,2023-03-04 04:00:00,-0.7,95.0,5.2
35.0,2023-03-06 00:00:00,1.4,91.0,1.1
35.0,2023-03-07 02:00:00,1.6,97.0,3.6
30.0,2023-03-03 23:00:00,1.1,96.0,6.5
27.0,2023-03-01 23:00:00,2.2,98.0,9.6
19.0,2023-02-25 06:00:00,4.5,92.0,4.1
23.0,2023-03-07 06:00:00,1.6,97.0,4.0
29.0,2023-02-23 06:00:00,0.7,94.0,3.3
3.0,2023-03-09 12:00:00,15.6,52.0,16.1
35.0,2023-02-23 01:00:00,2.6,93.0,5.1
4.0,2023-02-26 23:00:00,0.2,60.0,14.2
14.0,2023-02-27 19:00:00,0.6,64.0,8.7
4.0,2023-03-08 18:00:00,9.4,72.0,20.7
42.0,2023-02-23 16:00:00,8.7,85.0,4.1
50.0,2023-03-13 21:00:00,4.668407310704956,77.81462140992167,9.1639686684073
26.0,2023-02-24 01:00:00,0.8,95.0,10.3
16.0,2023-02-25 13:00:00,9.5,62.0,9.0
4.0,2023-02-25 20:00:00,3.8,98.0,5.2
23.0,2023-03-03 10:00:00,6.5,80.0,4.3
48.0,2023-03-07 20:00:00,5.3,81.0,14.7
